source_organisation,dataset,period_start,period_end,release_title,original_filename,file_type,official_source_url,download_url,download_status,contains_excel,contains_pdf,months_covered,notes
NBS,NBS AGO (Diesel) Price Watch,2025-11,2025-11,AGO Report November 2025,AGO_REPORT_NOV_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1327,DOWNLOADED,YES,YES,2025-11,archive members: DIESEL_NOV_2025.xlsx | AGO_Report_NOVEMBER_2025.pdf
NBS,NBS AGO (Diesel) Price Watch,2025-12,2025-12,AGO Report December 2025,AGO_DECEMBER_2025.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1346,DOWNLOADED,YES,YES,2025-12,archive members: DIESEL_DECEMBER_2025.xlsx | AGO_DECEMBER_2025.pdf
NBS,NBS AGO (Diesel) Price Watch,2026-01,2026-01,AGO Report January 2026,AGO_Report_JANUARY_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1360,DOWNLOADED,YES,YES,2026-01,archive members: AGO_Report_JANUARY_2026.pdf | AGO JANUARY 2026.xlsx
NBS,NBS AGO (Diesel) Price Watch,2026-02,2026-02,AGO Report February 2026,AGO_Report_FEBRUARY_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1375,DOWNLOADED,YES,YES,2026-02,archive members: AGO_Report_FEBRUARY_2026.pdf | AGO_FEBRUARY_2026.xlsx
NBS,NBS AGO (Diesel) Price Watch,2026-03,2026-03,AGO Report March 2026,AGO_Report_March_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1399,DOWNLOADED,YES,YES,2026-03,archive members: AGO_Report_March_2026.pdf | AGO_MARCH_2026.xlsx
NBS,NBS AGO (Diesel) Price Watch,2026-04,2026-04,AGO Report April 2026,AGO_APRIL_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1411,DOWNLOADED,YES,YES,2026-04,archive members: AGO report - APRIL 2026.pdf | Diesel APRIL 2026.xlsx
NBS,NBS AGO (Diesel) Price Watch,2026-05,2026-05,AGO Report May 2026,AGO_Report_MAY_2026.zip,ZIP,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/158/download/1425,DOWNLOADED,YES,YES,2026-05,archive members: AGO_Report_MAY_2026.pdf | DIESEL_MAY_2026.xlsx
NBS,NBS LPG (Cooking Gas) Price Watch,2025-01,2025-01,LPG Report January 2025,LPG_Report_January_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1171,DOWNLOADED,NO,YES,2025-01,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-01,2025-01,LPG January 2025 Tables,GAS_PRICE_WATCH_JAN_2025.xlsx,XLSX,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1172,DOWNLOADED,YES,NO,2025-01,
NBS,NBS LPG (Cooking Gas) Price Watch,2025-02,2025-02,LPG Report February 2025,LPG_Report_February_2025.pdf,PDF,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/related-materials,https://microdata.nigerianstat.gov.ng/index.php/catalog/160/download/1173,DOWNLOADED,NO,YES,2025-02,
